,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",2091.941,57.620,137.700,2229.641
1,"(0, 0, 1)",1653.466,67.740,178.460,1831.926
2,"(0, 0, 2)",1301.941,73.880,182.620,1484.561
3,"(0, 0, None)",1324.919,78.650,201.700,1526.619
4,"(0, 1, 0)",1696.191,66.670,172.980,1869.171
5,"(0, 1, 1)",1296.072,73.490,175.220,1471.292
6,"(0, 1, 2)",764.231,97.660,268.420,1032.651
7,"(0, 1, None)",765.045,111.820,353.100,1118.145
8,"(0, None, 0)",1747.693,76.800,213.640,1961.333
9,"(0, None, 1)",1300.748,76.800,194.120,1494.868
10,"(0, None, 2)",767.461,114.130,366.540,1134.001
11,"(0, None, None)",793.072,164.150,656.600,1449.672
12,"(None, 0, 0)",2100.411,57.980,139.420,2239.831
13,"(None, 0, 1)",1653.466,67.740,178.460,1831.926
14,"(None, 0, 2)",1280.039,69.500,165.760,1445.799
15,"(None, 0, None)",1677.637,115.750,463.000,2140.637
16,"(None, 1, 0)",1700.926,67.250,175.440,1876.366
17,"(None, 1, 1)",1296.804,76.410,192.560,1489.364
18,"(None, 1, 2)",770.629,94.010,245.260,1015.889
19,"(None, 1, None)",768.231,159.220,636.880,1405.111
20,"(None, None, 0)",2373.872,96.310,385.240,2759.112
21,"(None, None, 1)",1658.552,114.150,456.600,2115.152
22,"(None, None, 2)",771.487,159.330,637.320,1408.807
