,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1413.694,101.125,342.058,1755.752
1,"(0, 0, 1)",1265.729,101.945,338.212,1603.941
2,"(0, 0, 2)",896.120,91.343,242.712,1138.832
3,"(0, 0, None)",741.138,153.286,613.144,1354.282
4,"(0, 1, 0)",701.301,102.848,325.644,1026.945
5,"(0, 1, 1)",721.406,106.397,338.602,1060.008
6,"(0, 1, 2)",712.516,90.714,248.218,960.734
7,"(0, 1, None)",707.333,105.612,339.996,1047.329
8,"(0, None, 0)",1284.324,104.563,355.176,1639.500
9,"(0, None, 1)",706.030,146.125,584.500,1290.530
10,"(0, None, 2)",741.349,107.484,337.324,1078.673
11,"(0, None, None)",713.380,147.703,590.812,1304.192
12,"(None, 0, 0)",1825.937,65.066,188.424,2014.361
13,"(None, 0, 1)",1607.252,67.011,180.956,1788.208
14,"(None, 0, 2)",1102.056,84.529,242.474,1344.530
15,"(None, 0, None)",1562.419,107.712,430.848,1993.267
16,"(None, 1, 0)",1495.886,85.374,253.490,1749.376
17,"(None, 1, 1)",1194.559,89.585,253.200,1447.759
18,"(None, 1, 2)",721.985,89.055,235.340,957.325
19,"(None, 1, None)",721.743,149.617,598.468,1320.211
20,"(None, None, 0)",2341.370,94.968,379.872,2721.242
21,"(None, None, 1)",1533.536,105.614,422.456,1955.992
22,"(None, None, 2)",717.613,148.208,592.832,1310.445
