,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1559.563,94.032,301.296,1860.859
1,"(0, 0, 1)",1290.326,93.912,301.152,1591.478
2,"(0, 0, 2)",759.627,77.960,205.760,965.387
3,"(0, 0, None)",634.458,131.320,525.280,1159.738
4,"(0, 1, 0)",612.037,89.844,284.808,896.845
5,"(0, 1, 1)",612.037,89.844,284.808,896.845
6,"(0, 1, 2)",611.384,78.922,219.500,830.884
7,"(0, 1, None)",612.037,89.844,284.808,896.845
8,"(0, None, 0)",1345.680,90.920,290.464,1636.144
9,"(0, None, 1)",634.458,131.320,525.280,1159.738
10,"(0, None, 2)",631.115,91.304,285.936,917.051
11,"(0, None, None)",634.458,131.320,525.280,1159.738
12,"(None, 0, 0)",1837.352,63.600,180.144,2017.496
13,"(None, 0, 1)",1598.071,65.760,174.032,1772.103
14,"(None, 0, 2)",1062.916,74.616,201.264,1264.180
15,"(None, 0, None)",1572.694,108.328,433.312,2006.006
16,"(None, 1, 0)",1458.401,75.208,211.744,1670.145
17,"(None, 1, 1)",1124.644,75.208,196.208,1320.852
18,"(None, 1, 2)",616.502,75.208,196.208,812.710
19,"(None, 1, None)",614.585,127.376,509.504,1124.089
20,"(None, None, 0)",2214.772,89.824,359.296,2574.068
21,"(None, None, 1)",1612.646,110.720,442.880,2055.526
22,"(None, None, 2)",617.189,127.464,509.856,1127.045
