,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",2091.941,57.620,137.700,2229.641
1,"(0, 0, 1)",1653.466,67.740,178.460,1831.926
2,"(0, 0, 2)",1280.039,69.500,272.800,1552.839
3,"(0, 0, None)",1324.919,78.650,44.400,1369.319
4,"(0, 1, 0)",1696.191,66.670,280.340,1976.531
5,"(0, 1, 1)",1296.072,73.490,294.540,1590.612
6,"(0, 1, 2)",764.231,97.660,671.540,1435.771
7,"(0, 1, None)",765.045,111.820,336.180,1101.225
8,"(0, None, 0)",1747.693,76.800,60.040,1807.733
9,"(0, None, 1)",1300.748,76.800,76.760,1377.508
10,"(0, None, 2)",741.196,114.130,742.400,1483.596
11,"(0, None, None)",793.072,164.150,0.000,793.072
12,"(None, 0, 0)",2100.411,57.980,23.460,2123.871
13,"(None, 0, 1)",1653.466,67.740,42.980,1696.446
14,"(None, 0, 2)",1280.039,69.500,133.800,1413.839
15,"(None, 0, None)",1677.637,115.750,-0.000,1677.637
16,"(None, 1, 0)",1700.926,67.250,85.740,1786.666
17,"(None, 1, 1)",1296.804,76.410,119.220,1416.024
18,"(None, 1, 2)",770.629,94.010,286.200,1056.829
19,"(None, 1, None)",768.231,159.220,0.000,768.231
20,"(None, None, 0)",2373.872,96.310,-0.000,2373.872
21,"(None, None, 1)",1658.552,114.150,-0.000,1658.552
22,"(None, None, 2)",771.487,159.330,0.000,771.487
