,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1462.040,102.293,344.402,1806.442
1,"(0, 0, 1)",1253.344,102.761,611.426,1864.770
2,"(0, 0, 2)",798.031,90.391,614.444,1412.475
3,"(0, 0, None)",745.183,154.266,308.532,1053.715
4,"(0, 1, 0)",704.702,103.914,527.680,1232.382
5,"(0, 1, 1)",710.824,103.894,937.602,1648.426
6,"(0, 1, 2)",716.510,93.605,668.614,1385.124
7,"(0, 1, None)",695.228,102.803,313.122,1008.350
8,"(0, None, 0)",1277.829,104.726,146.930,1424.759
9,"(0, None, 1)",733.945,151.892,911.352,1645.297
10,"(0, None, 2)",730.360,105.960,601.420,1331.780
11,"(0, None, None)",735.450,152.147,-0.000,735.450
12,"(None, 0, 0)",1815.772,61.803,48.858,1864.630
13,"(None, 0, 1)",1638.718,67.983,45.562,1684.280
14,"(None, 0, 2)",1154.896,88.392,76.116,1231.012
15,"(None, 0, None)",1579.016,108.836,-0.000,1579.016
16,"(None, 1, 0)",1458.879,85.170,85.304,1544.183
17,"(None, 1, 1)",1068.748,86.294,248.574,1317.322
18,"(None, 1, 2)",717.533,86.507,244.080,961.613
19,"(None, 1, None)",707.668,146.687,0.000,707.668
20,"(None, None, 0)",2356.363,95.607,-0.000,2356.363
21,"(None, None, 1)",1574.528,108.420,0.000,1574.528
22,"(None, None, 2)",707.454,146.125,0.000,707.454
