TP,P_0,P_1,P_2
T_0,9.226208446222238,8.404447287981121,13.587790172149964
T_1,5.636012300399192,9.601625393356114,5.249243573391661
T_2,11.954263354163832,12.06288041610754,10.489074960766363
T_3,12.428173035656883,9.566375875392675,11.52218946476319
T_4,22.242399215222846,9.469169542393626,13.019033002462024
T_5,12.724098444376468,9.294500428476134,8.94939579579793
T_6,5.910261830774958,10.523978279868656,10.073901451440692
T_7,15.79349748561255,15.53415689510404,11.447284911170692
T_8,21.546169437910056,20.935875101352636,16.880102968743575
T_9,10.288962176495001,14.017169989347098,15.236135193938615
T_10,20.966306202889015,17.946008589992566,10.29718029023863
T_11,16.689124227547662,18.852838060191264,16.470993867178123
T_12,12.117300380680515,8.425323492756926,15.670814669180814
T_13,13.939293026900824,14.131106159425832,13.299110995370008
T_14,20.091510485623143,17.771985347125465,22.63897777136928
T_15,14.031582859061675,7.429460203878008,8.856920127644205
T_16,7.329926294866757,8.808652008790844,13.638469062773211
T_17,3.8445595591697357,6.956069097773881,7.516612074576418
T_18,22.451122199624496,21.43970488406986,13.356677708534438
T_19,5.540632665812226,6.651225331562344,9.000442309341095
T_20,11.131017676900395,8.977231871602221,4.563838398022046
T_21,14.06920216104848,10.605770574019363,10.36406508208523
T_22,5.130381678685522,3.9270186858909826,4.560779244521221
T_23,7.683103220729677,16.56900898248105,16.700929208649946
T_24,7.038806964864708,6.017268518168816,4.6701583023010755
