TP,P_0,P_1,P_2,P_3,P_4
T_0,33.42435431373814,32.477610893774504,26.185932683094848,20.217472832554897,27.543278766864695
T_1,21.168640159497244,24.008218675646766,20.54971888773657,11.791154519938473,18.305826775752546
T_2,18.61122877091193,16.259909196039075,16.469434939166838,11.451421747919166,21.29925433302828
T_3,20.975737299323963,21.26437617581794,20.012396469109454,28.97381415743832,25.628844631905224
T_4,29.488062092242437,30.250971328869937,16.017322484137992,19.09481200621817,12.555597933765972
T_5,15.447791911068645,23.91787436454632,12.00445793421325,21.720001364666228,23.47027066906424
T_6,27.964508889501253,26.704714913042643,16.63671549214416,15.7284570680407,18.88114920933986
T_7,28.977419751087574,28.536810247686958,23.015106965559866,11.700402797467246,24.346907061030073
T_8,18.748097902027737,18.320828785218854,30.23036604317616,23.13964530671987,26.87402899803788
T_9,10.373234257001902,22.370415526621223,22.548525773219815,23.210937281257834,19.84234585162944
T_10,19.348918613833945,17.177890778883775,33.67851149439065,34.38308603401781,30.772580394665155
T_11,18.284323116192276,12.015989792338392,11.508955740822888,17.75376256730706,14.034626487813437
T_12,16.629811449988303,17.9879480280156,34.275970533910694,33.2825858372199,35.975358115977386
T_13,20.30682997489178,18.45188385234722,31.187413798721234,22.437240704628216,21.70182781502988
T_14,17.897463790115808,20.54058128317474,21.484599368915422,27.341587749328458,30.069809907855998
T_15,6.873165022763905,6.974793072148688,11.51646089951528,14.229058252048596,16.535015824329406
T_16,28.955605706063196,15.472752852828629,25.34630464863536,14.221841469457498,19.835737614651435
T_17,11.37116610183928,17.666785476787677,23.187186370789696,29.6473561097623,18.15359901061951
T_18,19.66092158120947,24.614762186564896,25.93387057346292,30.19628116571871,25.893810460075336
T_19,16.541905082412164,28.852694135188052,23.566556377102778,25.343212058701354,16.3131731243472
T_20,12.076976572656221,10.82117776017516,21.47942504507395,13.239991318723709,28.930016163053637
T_21,16.451498125481358,20.254985822932717,15.80430107983431,11.076198788522328,7.97909579930445
T_22,17.82407265238374,15.856494357146529,22.526609829208578,9.876815926826964,11.695364333724571
T_23,22.396627597259663,29.396663142495438,12.371779389666266,33.18867090022822,14.887334391985386
T_24,15.702744738551885,22.406366580867974,7.997213474258668,9.037868031405303,15.710293754505805
T_25,13.821011459346598,10.331568608108512,7.255696782950523,18.551098938855812,10.089217140952691
T_26,22.99004601760132,29.247220786571273,26.48658537320302,27.89936913555977,32.70250806768607
T_27,31.59909758519906,27.007982061026368,28.34720972729601,19.565287065993616,31.38674748400267
T_28,16.664665205710225,25.596562990758443,13.231931122837947,17.056743823908285,12.450112052294271
T_29,15.67305349634545,31.809689804031727,28.551346877354625,17.99169460210884,16.13987813253723
T_30,18.828893055786033,27.54686545326813,24.763470894593652,22.69222400676328,28.682734493408024
T_31,17.057308219257806,21.211494813740597,13.696176356670811,12.63538381111719,15.943630516922347
T_32,6.941410941263555,5.472580540107248,4.383353692738105,7.1831633196618565,3.903282868369507
T_33,5.9870226357043705,7.159487179346591,11.40909256811877,11.72290006014134,10.782305673640963
T_34,14.168808479879544,17.334564509238177,14.003496724662021,28.12761283892251,29.24125699474329
T_35,13.386257482449803,13.529046595867879,23.857011868710444,12.374728513888615,9.949012204223608
T_36,22.97821566046261,21.22047202580289,13.24400733889863,12.15051021210267,13.959332767900774
T_37,31.88292215462226,14.590501217197561,27.565592835760032,31.916382522992425,28.466047978004177
T_38,16.12936352282982,17.57431974353251,18.68850902004349,13.168753622750812,7.058585980252811
T_39,11.239214533092522,7.292189258603587,6.410312958593302,11.34426931265751,16.44818110485899
T_40,16.207132796950287,16.393660205796234,9.225591797048166,16.43652619031192,20.58043459504691
T_41,29.01131278399584,13.221501907669598,29.030769532230643,23.464704111471,30.58497018889878
T_42,1.5542853167667012,3.675744056577961,3.0806607327376883,1.8844790450585043,2.906341516030097
T_43,23.091931697447784,11.162866130435674,27.9752961221822,11.503111374631324,30.69517424187209
T_44,5.991141022473759,9.93346641306408,9.289339819325523,5.79008133677834,7.9245610152123955
T_45,3.9853073931938994,5.483979920766227,5.73100959721485,7.903389180635479,4.317722120054214
T_46,19.771404375536072,13.12188168942357,15.495464537743878,20.254838828444747,10.624560545011356
T_47,26.329607677954186,27.016622382392832,17.966746778868455,13.209127512030863,24.304410382896524
T_48,3.0606846057029786,1.713704213519944,3.510945251971535,1.9515097563112742,2.3583668151332295
T_49,9.080469564878356,11.359430922882083,13.910132439206702,13.5702908548482,10.890095100612369
