,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",2432.175,206.671,479.864,2912.039
1,"(0, 0, 1)",2313.661,206.404,454.870,2768.531
2,"(0, 0, 2)",2194.760,204.155,415.312,2610.072
3,"(0, 0, None)",2202.010,216.919,490.896,2692.906
4,"(0, 1, 0)",2304.936,200.033,416.572,2721.508
5,"(0, 1, 1)",2172.278,208.709,447.110,2619.388
6,"(0, 1, 2)",2039.938,239.742,607.668,2647.606
7,"(0, 1, None)",2040.966,317.518,1074.180,3115.146
8,"(0, None, 0)",2312.024,216.049,511.880,2823.904
9,"(0, None, 1)",2183.925,220.142,513.752,2697.677
10,"(0, None, 2)",2035.874,284.688,879.364,2915.238
11,"(0, None, None)",2054.858,417.368,1669.472,3724.330
12,"(None, 0, 0)",2435.548,204.089,464.340,2899.888
13,"(None, 0, 1)",2317.536,209.025,469.048,2786.584
14,"(None, 0, 2)",2205.144,217.793,494.562,2699.706
15,"(None, 0, None)",2329.861,393.543,1574.172,3904.033
16,"(None, 1, 0)",2302.868,214.651,506.288,2809.156
17,"(None, 1, 1)",2179.872,217.227,496.982,2676.854
18,"(None, 1, 2)",2060.389,220.856,490.406,2550.795
19,"(None, 1, None)",2060.110,417.314,1669.256,3729.366
20,"(None, None, 0)",2541.298,368.485,1473.940,4015.238
21,"(None, None, 1)",2308.477,391.774,1567.096,3875.573
22,"(None, None, 2)",2062.611,417.639,1670.556,3733.167
