,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1928.608,373.835,1465.056,3393.664
1,"(0, 0, 1)",1912.122,369.296,1444.778,3356.900
2,"(0, 0, 2)",1935.868,216.688,532.286,2468.154
3,"(0, 0, None)",1918.525,389.849,1559.396,3477.921
4,"(0, 1, 0)",1897.747,296.047,1003.212,2900.959
5,"(0, 1, 1)",1876.967,290.337,977.320,2854.287
6,"(0, 1, 2)",1905.588,237.150,646.100,2551.688
7,"(0, 1, None)",1901.815,293.900,988.442,2890.257
8,"(0, None, 0)",1917.483,389.262,1557.048,3474.531
9,"(0, None, 1)",1935.230,393.318,1573.272,3508.502
10,"(0, None, 2)",1874.245,275.479,889.658,2763.903
11,"(0, None, None)",1916.659,388.980,1555.920,3472.579
12,"(None, 0, 0)",2392.536,196.177,427.354,2819.890
13,"(None, 0, 1)",2266.820,215.686,525.108,2791.928
14,"(None, 0, 2)",2104.586,207.303,465.962,2570.548
15,"(None, 0, None)",2259.092,381.686,1526.744,3785.836
16,"(None, 1, 0)",2206.227,197.870,436.998,2643.225
17,"(None, 1, 1)",2059.766,204.092,461.788,2521.554
18,"(None, 1, 2)",1914.849,208.290,473.192,2388.041
19,"(None, 1, None)",1899.879,384.963,1539.852,3439.731
20,"(None, None, 0)",2525.865,366.163,1464.652,3990.517
21,"(None, None, 1)",2235.110,379.470,1517.880,3752.990
22,"(None, None, 2)",1904.032,385.652,1542.608,3446.640
