,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1448.480,280.850,1100.662,2549.142
1,"(0, 0, 1)",1448.480,280.850,1100.660,2549.140
2,"(0, 0, 2)",1471.530,167.521,421.100,1892.630
3,"(0, 0, None)",1438.400,292.157,1168.628,2607.028
4,"(0, 1, 0)",1431.330,222.263,750.756,2182.086
5,"(0, 1, 1)",1431.330,222.263,750.756,2182.086
6,"(0, 1, 2)",1427.222,179.337,494.004,1921.226
7,"(0, 1, None)",1431.330,222.263,750.756,2182.086
8,"(0, None, 0)",1438.400,292.157,1168.628,2607.028
9,"(0, None, 1)",1438.400,292.157,1168.628,2607.028
10,"(0, None, 2)",1432.488,209.678,674.946,2107.434
11,"(0, None, None)",1438.400,292.157,1168.628,2607.028
12,"(None, 0, 0)",1869.021,155.284,347.290,2216.311
13,"(None, 0, 1)",1721.082,164.327,401.750,2122.832
14,"(None, 0, 2)",1580.912,156.904,357.114,1938.026
15,"(None, 0, None)",1729.396,292.120,1168.480,2897.876
16,"(None, 1, 0)",1724.993,155.309,347.778,2072.771
17,"(None, 1, 1)",1576.340,155.154,347.346,1923.686
18,"(None, 1, 2)",1437.341,156.902,358.072,1795.413
19,"(None, 1, None)",1442.079,292.120,1168.480,2610.559
20,"(None, None, 0)",2012.179,291.734,1166.936,3179.115
21,"(None, None, 1)",1719.040,291.734,1166.936,2885.976
22,"(None, None, 2)",1443.828,292.348,1169.392,2613.220
