,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",2432.175,206.671,479.864,2912.039
1,"(0, 0, 1)",2305.289,206.291,465.410,2770.699
2,"(0, 0, 2)",2205.522,205.963,440.518,2646.040
3,"(0, 0, None)",2202.010,216.919,57.058,2259.068
4,"(0, 1, 0)",2304.936,200.033,451.004,2755.940
5,"(0, 1, 1)",2172.278,208.709,494.096,2666.374
6,"(0, 1, 2)",2039.938,239.742,767.458,2807.396
7,"(0, 1, None)",2040.966,317.518,526.973,2567.939
8,"(0, None, 0)",2312.024,216.049,79.782,2391.806
9,"(0, None, 1)",2183.925,220.142,80.642,2264.567
10,"(0, None, 2)",2040.490,284.688,429.132,2469.622
11,"(0, None, None)",2054.858,417.368,0.000,2054.858
12,"(None, 0, 0)",2435.548,204.089,56.162,2491.710
13,"(None, 0, 1)",2313.181,208.934,60.336,2373.517
14,"(None, 0, 2)",2195.327,217.793,77.376,2272.703
15,"(None, 0, None)",2329.861,393.543,-0.000,2329.861
16,"(None, 1, 0)",2317.626,213.467,75.365,2392.991
17,"(None, 1, 1)",2179.872,217.227,75.034,2254.906
18,"(None, 1, 2)",2060.389,220.856,60.350,2120.739
19,"(None, 1, None)",2060.110,417.314,0.000,2060.110
20,"(None, None, 0)",2541.298,368.485,0.000,2541.298
21,"(None, None, 1)",2308.477,391.774,0.000,2308.477
22,"(None, None, 2)",2062.611,417.639,-0.000,2062.611
