,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1914.362,370.751,1452.142,3366.504
1,"(0, 0, 1)",1899.119,367.940,1588.538,3487.657
2,"(0, 0, 2)",1937.139,218.996,619.338,2556.477
3,"(0, 0, None)",1912.762,388.437,776.874,2689.636
4,"(0, 1, 0)",1862.416,287.905,1047.266,2909.682
5,"(0, 1, 1)",1872.526,290.872,1178.446,3050.972
6,"(0, 1, 2)",1863.191,230.369,811.614,2674.805
7,"(0, 1, None)",1875.673,293.861,494.405,2370.078
8,"(0, None, 0)",1914.378,389.189,778.378,2692.756
9,"(0, None, 1)",1909.165,387.673,930.415,2839.580
10,"(0, None, 2)",1890.337,275.581,464.951,2355.288
11,"(0, None, None)",1899.862,385.868,-0.000,1899.862
12,"(None, 0, 0)",2411.568,198.856,40.802,2452.370
13,"(None, 0, 1)",2265.815,212.384,91.236,2357.051
14,"(None, 0, 2)",2090.886,205.532,50.080,2140.966
15,"(None, 0, None)",2283.737,385.761,0.000,2283.737
16,"(None, 1, 0)",2192.176,196.577,43.901,2236.077
17,"(None, 1, 1)",2061.524,201.587,51.062,2112.586
18,"(None, 1, 2)",1900.662,204.075,55.515,1956.177
19,"(None, 1, None)",1889.672,383.076,0.000,1889.672
20,"(None, None, 0)",2520.080,365.166,-0.000,2520.080
21,"(None, None, 1)",2276.706,386.204,0.000,2276.706
22,"(None, None, 2)",1920.380,388.652,0.000,1920.380
