,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",2062.077,401.215,1574.934,3637.011
1,"(0, 0, 1)",2062.077,401.215,1735.422,3797.499
2,"(0, 0, 2)",2072.676,235.711,673.692,2746.368
3,"(0, 0, None)",2054.858,417.368,834.736,2889.594
4,"(0, 1, 0)",2032.580,317.518,1166.218,3198.798
5,"(0, 1, 1)",2040.966,317.518,1289.018,3329.984
6,"(0, 1, 2)",2035.097,252.770,895.726,2930.823
7,"(0, 1, None)",2033.414,317.518,530.935,2564.349
8,"(0, None, 0)",2054.858,417.368,834.736,2889.594
9,"(0, None, 1)",2054.858,417.368,1001.683,3056.541
10,"(0, None, 2)",2041.795,299.540,513.985,2555.780
11,"(0, None, None)",2054.858,417.368,0.000,2054.858
12,"(None, 0, 0)",2427.253,200.847,42.046,2469.299
13,"(None, 0, 1)",2317.555,220.369,107.338,2424.893
14,"(None, 0, 2)",2190.740,217.843,61.157,2251.897
15,"(None, 0, None)",2329.861,393.543,-0.000,2329.861
16,"(None, 1, 0)",2298.303,212.956,64.762,2363.065
17,"(None, 1, 1)",2178.243,212.821,50.580,2228.823
18,"(None, 1, 2)",2053.342,221.610,66.350,2119.692
19,"(None, 1, None)",2060.110,417.314,0.000,2060.110
20,"(None, None, 0)",2541.298,368.485,0.000,2541.298
21,"(None, None, 1)",2308.477,391.774,0.000,2308.477
22,"(None, None, 2)",2062.611,417.639,-0.000,2062.611
