,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1379.928,104.980,359.640,1739.568
1,"(0, 0, 1)",1219.125,106.270,362.880,1582.005
2,"(0, 0, 2)",853.292,97.450,276.660,1129.952
3,"(0, 0, None)",793.072,164.150,656.600,1449.672
4,"(0, 1, 0)",765.045,111.820,353.100,1118.145
5,"(0, 1, 1)",765.045,111.820,353.100,1118.145
6,"(0, 1, 2)",764.231,97.660,268.420,1032.651
7,"(0, 1, None)",765.045,111.820,353.100,1118.145
8,"(0, None, 0)",1276.060,113.650,395.600,1671.660
9,"(0, None, 1)",793.072,164.150,656.600,1449.672
10,"(0, None, 2)",767.461,114.130,366.540,1134.001
11,"(0, None, None)",793.072,164.150,656.600,1449.672
12,"(None, 0, 0)",1951.098,69.500,201.340,2152.438
13,"(None, 0, 1)",1653.466,67.740,178.460,1831.926
14,"(None, 0, 2)",1189.484,93.270,271.100,1460.584
15,"(None, 0, None)",1677.637,115.750,463.000,2140.637
16,"(None, 1, 0)",1545.411,94.010,287.460,1832.871
17,"(None, 1, 1)",1129.979,94.010,283.220,1413.199
18,"(None, 1, 2)",770.629,94.010,245.260,1015.889
19,"(None, 1, None)",768.231,159.220,636.880,1405.111
20,"(None, None, 0)",2373.872,96.310,385.240,2759.112
21,"(None, None, 1)",1658.552,114.150,456.600,2115.152
22,"(None, None, 2)",771.487,159.330,637.320,1408.807
