,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1169.671,71.034,229.032,1398.703
1,"(0, 0, 1)",967.745,70.944,392.556,1360.301
2,"(0, 0, 2)",569.719,58.470,384.240,953.959
3,"(0, 0, None)",475.842,98.490,196.980,672.822
4,"(0, 1, 0)",459.026,67.868,343.652,802.678
5,"(0, 1, 1)",459.026,67.868,615.124,1074.150
6,"(0, 1, 2)",458.537,60.184,431.508,890.045
7,"(0, 1, None)",459.026,67.868,207.916,666.942
8,"(0, None, 0)",1076.137,71.106,87.648,1163.785
9,"(0, None, 1)",475.842,98.490,590.940,1066.782
10,"(0, None, 2)",473.335,68.478,387.480,860.815
11,"(0, None, None)",475.842,98.490,0.000,475.842
12,"(None, 0, 0)",1649.472,56.406,45.468,1694.940
13,"(None, 0, 1)",1371.406,55.314,32.376,1403.782
14,"(None, 0, 2)",842.999,55.962,33.012,876.011
15,"(None, 0, None)",1346.948,92.790,0.000,1346.948
16,"(None, 1, 0)",1238.396,56.406,34.344,1272.740
17,"(None, 1, 1)",843.484,56.406,103.032,946.516
18,"(None, 1, 2)",462.377,56.406,171.720,634.097
19,"(None, 1, None)",460.938,95.532,0.000,460.938
20,"(None, None, 0)",1840.968,74.586,0.000,1840.968
21,"(None, None, 1)",1375.310,94.548,-0.000,1375.310
22,"(None, None, 2)",462.891,95.598,-0.000,462.891
